Date,Monthly Listeners
03-09-2022,11146836
03-10-2022,11146836
03-11-2022,11160362
03-12-2022,11160362
03-13-2022,11165653
03-14-2022,11169286
03-15-2022,11181829
03-16-2022,11197981
03-17-2022,11209464
03-18-2022,11217943
03-19-2022,11043808
03-20-2022,11043808
03-21-2022,10988926
03-22-2022,10937658
03-23-2022,10826214
03-24-2022,10826214
03-25-2022,10794382
03-26-2022,10764066
03-27-2022,10737901
03-28-2022,10710466
03-29-2022,10679278
03-30-2022,10653342
03-31-2022,10632142
04-01-2022,10614989
04-02-2022,10595373
04-03-2022,10574316
04-04-2022,10574316
04-05-2022,10529093
04-06-2022,10529093
04-07-2022,10529093
04-08-2022,10482386
04-09-2022,10482386
04-10-2022,10482386
04-11-2022,10466029
04-12-2022,10466029
04-13-2022,10460195
04-14-2022,10460195
04-15-2022,10455131
04-16-2022,10455131
04-17-2022,10455131
04-18-2022,10455131
04-19-2022,10455131
04-20-2022,10455131
04-21-2022,10455131
04-22-2022,10394832
04-23-2022,10394832
04-24-2022,10394832
04-25-2022,10394832
04-26-2022,10394832
04-27-2022,10394832
04-28-2022,10394832
04-29-2022,10312517
04-30-2022,10312517
05-01-2022,10312517
05-02-2022,10312517
05-03-2022,10312517
05-04-2022,10312517
05-05-2022,10312517
05-06-2022,10238570
05-07-2022,10238570
05-08-2022,10238570
05-09-2022,10238570
05-10-2022,10238570
05-11-2022,10238570
05-12-2022,10238570
05-13-2022,10223983
05-14-2022,10223983
05-15-2022,10223983
05-16-2022,10223983
05-17-2022,10223983
05-18-2022,10223983
05-19-2022,10223983
05-20-2022,10191409
05-21-2022,10191409
05-22-2022,10191409
05-23-2022,10191409
05-24-2022,10191409
05-25-2022,10191409
05-26-2022,10191409
05-27-2022,10168901
05-28-2022,10168901
05-29-2022,10168901
05-30-2022,10168901
05-31-2022,10170384
06-01-2022,10171039
06-02-2022,10173308
06-03-2022,10172248
06-04-2022,10161289
06-05-2022,10150050
06-06-2022,10145516
06-07-2022,10131184
06-08-2022,10117322
06-09-2022,10114574
06-10-2022,10105471
06-11-2022,10090251
06-12-2022,10090251
06-13-2022,10087314
06-14-2022,10078531
06-15-2022,10077502
06-16-2022,10074240
06-17-2022,10061824
06-18-2022,10045012
06-19-2022,10028138
06-20-2022,10011467
06-21-2022,10005910
06-22-2022,10000953
06-23-2022,9986638
06-24-2022,9971946
06-25-2022,9959759
06-26-2022,9956413
06-27-2022,9937773
06-28-2022,9922391
06-29-2022,9908428
06-30-2022,9893399
07-01-2022,9882319
07-02-2022,9991646
07-03-2022,10037519
07-04-2022,10063050
07-05-2022,10093648
07-06-2022,10127643
07-07-2022,10164744
07-08-2022,10204560
07-09-2022,10242909
07-10-2022,10264842
07-11-2022,10284904
07-12-2022,10312534
07-13-2022,10338742
07-14-2022,10369789
07-15-2022,10384277
07-16-2022,10564292
07-17-2022,10701903
07-18-2022,10841324
07-19-2022,10963193
07-20-2022,11069266
07-21-2022,11258370
07-22-2022,11258370
07-23-2022,11335982
07-24-2022,11408006
07-25-2022,11461705
07-26-2022,11521576
07-27-2022,11584387
07-28-2022,11649118
07-29-2022,11707276
07-30-2022,11693999
07-31-2022,11700926
08-01-2022,11716150
08-02-2022,11737151
08-03-2022,11756873
08-04-2022,11766270
08-05-2022,11780264
08-06-2022,11794690
08-07-2022,11805137
08-08-2022,11809065
08-09-2022,11819867
08-10-2022,11822980
08-11-2022,11814701
08-12-2022,11812060
08-13-2022,11700050
08-14-2022,11624522
08-15-2022,11548163
08-16-2022,11482181
08-17-2022,11424781
08-18-2022,11376082
08-19-2022,11317316
08-20-2022,11272723
08-21-2022,11235313
08-22-2022,11205750
08-23-2022,11178348
08-24-2022,11143103
08-25-2022,11107737
08-26-2022,11063486
08-27-2022,11025155
08-28-2022,10994602
08-29-2022,10966307
08-30-2022,10933982
08-31-2022,10911306
09-01-2022,10883274
09-02-2022,10854135
09-03-2022,10824956
09-04-2022,10803916
09-05-2022,10784376
09-06-2022,10784376
09-07-2022,10731656
09-08-2022,10710493
09-09-2022,10693560
09-10-2022,10684938
09-11-2022,10681507
09-12-2022,10681471
09-13-2022,10684992
09-14-2022,10683975
09-15-2022,10683975
09-16-2022,10683975
09-17-2022,10683975
09-18-2022,10683975
09-19-2022,10683975
09-20-2022,10624811
09-21-2022,10624811
09-22-2022,10624811
09-23-2022,10624811
09-24-2022,10624811
09-25-2022,10624811
09-26-2022,10624811
09-27-2022,10579994
09-28-2022,10579994
09-29-2022,10617540
09-30-2022,10640050
10-01-2022,10655501
10-02-2022,10662930
10-03-2022,10665658
10-04-2022,10681340
10-05-2022,10690182
10-06-2022,10704024
10-07-2022,10709773
10-08-2022,10722143
10-09-2022,10733451
10-10-2022,10741048
10-11-2022,10760405
10-12-2022,10779428
10-13-2022,10800248
10-14-2022,10827336
10-15-2022,10871383
10-16-2022,10911413
10-17-2022,10956586
10-18-2022,11004892
10-19-2022,11043430
10-20-2022,11085763
10-21-2022,11120638
10-22-2022,11165752
10-23-2022,11204286
10-24-2022,11279702
10-25-2022,11380068
10-26-2022,11444419
10-27-2022,11498059
10-28-2022,11542026
10-29-2022,11574302
10-30-2022,11609304
10-31-2022,11632727
11-01-2022,11654970
11-02-2022,11673762
11-03-2022,11706961
11-04-2022,11747159
11-05-2022,11781589
11-06-2022,11813852
11-07-2022,11838221
11-08-2022,11865121
11-09-2022,11899498
11-10-2022,11921635
11-11-2022,11950584
11-12-2022,11984073
11-13-2022,12031227
11-14-2022,12070880
11-15-2022,12118641
11-16-2022,12165659
11-17-2022,12224305
